id,name,stream,subjects,total_seats,admission_start_date,admission_last_date,convener_name,convener_contact,embedding,created_at
1eb28caf-1aef-4087-b2cd-e62a1fcdedaf,M.A. Previous/Final,Arts,"[""History"",""Geography"",""Political Science"",""Hindi"",""English"",""Sanskrit"",""Urdu""]",400,,,,,,2026-05-27 12:23:57.179592+00
3c0d28d8-806a-4425-bef9-09dc7bd4b8c7,B.A. Semester-I,Arts,"[""History"",""Political Science"",""Sociology"",""Public Administration"",""Economics"",""Geography"",""Psychology"",""Philosophy"",""Home Science"",""Hindi Literature"",""English Literature"",""Sanskrit"",""Urdu"",""Punjabi"",""Rajasthani"",""Music"",""Drawing & Painting""]",1600,2026-05-01,2026-06-06,Mohd Javed Khan,9785159841,,2026-05-27 12:23:57.179592+00
3ddd6942-d36c-4abb-9370-2f3e8e0d87b9,B.Sc. Bio. Semester-I,Science,"[""Botany"",""Zoology"",""Chemistry"",""Computer Application""]",264,2026-05-01,2026-06-06,Dr. Mukesh Kumar Meena,8005763754,,2026-05-27 12:23:57.179592+00
3e05379f-faa8-4669-8dd7-2537a46148d5,AEDP (B.Com in BFSI),Commerce,"[""Account assistant"",""Principal of management"",""Business Economics""]",80,2026-05-01,2026-06-06,Dr. Madhu Sudan Pardhan,9782582267,,2026-05-27 14:59:21.331861+00
a2bb043d-0996-498f-9f95-80a9db3e912b,M.Com. Previous/Final,Commerce,"[""A.B.S.T."",""E.A.F.M."",""Business Management""]",180,,,,,,2026-05-27 12:23:57.179592+00
bd82f862-1b51-4e66-9133-8edf060d4abb,B.Com. Semester-I,Commerce,"[""A.B.S.T."",""Economic Administration & Financial Management"",""Business Administration"",""Computer Application""]",600,2026-05-01,2026-06-06,Dr. Mahendra Kumar Khardiya,9928273463,,2026-05-27 12:23:57.179592+00
d7a5ac07-37f5-4d23-8620-32baaaa47c53,BBA Semester-I,Management,"[""Business and Management Concepts"",""Financial Accounting"",""Entrepreneurship & Small Business Management"",""Computer Application""]",60,2026-05-01,2026-06-06,Dr. Mahendra Kumar Khardiya,9928273463,,2026-05-27 14:59:21.331861+00
f00b0d64-9cda-497e-ad4b-10c7e22ca3d2,B.Sc. Math. Semester-I,Science,"[""Mathematics"",""Physics"",""Chemistry"",""Computer Application""]",264,2026-05-01,2026-06-06,Dr. Mukesh Kumar Meena,8005763754,,2026-05-27 12:23:57.179592+00
f30c3d68-bd0b-49d1-ab81-756dce4a63e7,M.Sc. Previous/Final,Science,"[""Botany"",""Chemistry"",""Physics"",""Mathematics"",""Zoology""]",200,,,,,,2026-05-27 12:23:57.179592+00
